"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"538","Angus Crookshank","N.J","C","26","1999-10-02","North Vancouver","BC","CAN","CAN","70","181","2018","OTT","5","2","126"
"325","Anthony Beauvillier","WSH","L, R","29","1997-06-08","Sorel-Tracy","QC","CAN","CAN","71","180","2015","NYI","1","28","28"
"338","Anthony Cirelli","T.B","C","28","1997-07-15","Etobicoke","ON","CAN","CAN","72","189","2015","T.B","3","11","72"
"199","Anthony Duclair","NYI","L","30","1995-08-26","Pointe-Claire","QC","CAN","CAN","71","197","2013","NYR","3","19","80"
"234","Anthony Mantha","PIT","R","31","1994-09-16","Longueuil","QC","CAN","CAN","77","234","2013","DET","1","20","20"
"303","Anthony Richard","PHI","C","29","1996-12-20","Trois-Rivieres","QC","CAN","CAN","71","183","2015","NSH","4","9","100"
"190","Anton Blidh","NYR","L","31","1995-03-14","Molnlycke","","SWE","SWE","73","197","2013","BOS","6","29","180"
"927","Anton Frondell","CHI","C","19","2007-05-07","Trangsund","","SWE","","73","198","2025","CHI","1","3","3"
"648","Anton Lundell","FLA","C","24","2001-10-03","Espoo","","FIN","FIN","73","185","2020","FLA","1","12","12"
"6","Anze Kopitar","L.A","C","38","1987-08-24","Jesenice","","SVN","SVN","75","225","2005","L.A","1","11","11"
"759","Arber Xhekaj","MTL","D","25","2001-01-30","Hamilton","ON","CAN","CAN","76","238","-","-","-","-","-"
"614","Arseny Gritsyuk","N.J","R","25","2001-03-15","","","RUS","","72","195","2019","N.J","5","5","129"
"762","Arshdeep Bains","VAN","L","25","2001-01-09","Surrey","BC","CAN","CAN","72","184","-","-","-","-","-"
"683","Artem Zub","OTT","D","30","1995-10-03","Khabarovsk","","RUS","RUS","74","200","-","-","-","-","-"
"340","Artemi Panarin","L.A, NYR","L","34","1991-10-30","Korkino","","RUS","RUS","72","173","-","-","-","-","-"
"575","Arthur Kaliyev","OTT","R","24","2001-06-26","New York City","","USA","USA","74","210","2019","L.A","2","2","33"
"918","Arttu Hyry","DAL","R","25","2001-04-06","","","FIN","","74","209","-","-","-","-","-"
"215","Artturi Lehkonen","COL","L","30","1995-07-04","Piikkio","","FIN","FIN","71","179","2013","MTL","2","25","55"
"902","Artyom Levshunov","CHI","D","20","2005-10-28","","","BLR","","74","208","2024","CHI","1","2","2"
"367","Auston Matthews","TOR","C","28","1997-09-17","San Ramon","CA","USA","USA","75","208","2016","TOR","1","1","1"
"760","Avery Hayes","PIT","R","23","2002-10-10","","","USA","","70","180","-","-","-","-","-"
"873","Axel Sandin-Pellikka","DET","D","21","2005-03-11","","","SWE","","72","186","2023","DET","1","17","17"
"876","Aydar Suniev","CGY","L","21","2004-11-16","","","RUS","","74","198","2023","CGY","3","16","80"
"141","Barclay Goodrow","S.J","C","33","1993-02-26","Toronto","ON","CAN","CAN","74","204","-","-","-","-","-"
"509","Barrett Hayton","UTA","C","26","2000-06-09","Peterborough","ON","CAN","CAN","73","207","2018","ARI","1","5","5"
"378","Beck Malenstyn","BUF","L","28","1998-02-04","Delta","BC","CAN","CAN","75","200","2016","WSH","5","24","145"
"899","Beckett Sennecke","ANA","R","20","2006-01-28","","","CAN","","74","177","2024","ANA","1","3","3"
"61","Ben Chiarot","DET","D","35","1991-05-09","Hamilton","ON","CAN","CAN","75","232","2009","ATL","4","29","120"
"183","Ben Hutton","VGK","D","33","1993-04-20","Brockville","ON","CAN","CAN","75","201","2012","VAN","5","26","147"
"473","Ben Jones","MIN","C","27","1999-02-26","Waterloo","ON","CAN","CAN","72","187","2017","VGK","7","3","189"
"932","Ben Kindel","PIT","C","19","2007-04-19","","","CAN","","71","182","2025","PIT","1","11","11"
"818","Ben Meyers","SEA","C","27","1998-11-15","DELANO","MN","USA","USA","71","194","-","-","-","-","-"
"907","Berkly Catton","SEA","C","20","2006-01-14","","","CAN","","71","170","2024","SEA","1","8","8"
"111","Blake Coleman","CGY","L","34","1991-11-28","Plano","TX","USA","USA","71","199","2011","N.J","3","14","75"
"552","Blake Lizotte","PIT","C","28","1997-12-13","Lindstrom","MN","USA","USA","69","170","-","-","-","-","-"
"514","Bo Groulx","TOR","C","26","2000-02-06","Gatineau","QC","CAN","CAN","74","200","2018","ANA","2","23","54"
"226","Bo Horvat","NYI","C","31","1995-04-05","London","ON","CAN","CAN","72","215","2013","VAN","1","9","9"
"570","Bobby Brink","MIN, PHI","R","24","2001-07-08","Minnetonka","MN","USA","USA","68","166","2019","PHI","2","3","34"
"684","Bobby McMann","SEA, TOR","C","29","1996-06-15","Wainwright, AB","AB","CAN","CAN","74","208","-","-","-","-","-"
"670","Bogdan Trineyev","WSH","R","24","2002-03-04","Voronezh","","RUS","","75","198","2020","WSH","4","24","117"
"289","Bokondji Imama","PIT","L","29","1996-08-03","Montreal","QC","CAN","CAN","73","221","2015","T.B","6","29","180"
"116","Boone Jenner","CBJ","C","32","1993-06-15","Dorchester","ON","CAN","CAN","74","203","2011","CBJ","2","7","37"
"387","Boris Katchouk","T.B","L","27","1998-06-18","Waterloo","ON","CAN","CAN","74","206","2016","T.B","2","14","44"
"558","Bowen Byram","BUF","D","24","2001-06-13","Cranbrook","BC","CAN","CAN","73","190","2019","COL","1","4","4"
"788","Brad Lambert","WPG","C","22","2003-12-19","","","FIN","","73","173","2022","WPG","1","30","30"
"9","Brad Marchand","FLA","L","38","1988-05-11","Halifax","NS","CAN","CAN","69","176","2006","BOS","3","8","71"
"627","Braden Schneider","NYR","D","24","2001-09-20","Prince Albert","SK","CAN","CAN","75","208","2020","NYR","1","19","19"
"868","Bradly Nadeau","CAR","L","21","2005-05-05","","","CAN","","70","161","2023","CAR","1","30","30"
"930","Brady Martin","NSH","C","19","2007-03-16","","","CAN","","72","185","2025","NSH","1","5","5"
"148","Brady Skjei","NSH","D","32","1994-03-26","Lakeville","MN","USA","USA","75","210","2012","NYR","1","28","28"
"491","Brady Tkachuk","OTT","L","26","1999-09-16","Scottsdale","AZ","USA","USA","76","221","2018","OTT","1","4","4"
"844","Braeden Bowman","VGK","R","22","2003-06-26","","","CAN","","73","205","-","-","-","-","-"
"925","Braeden Cootes","VAN","C","19","2007-02-09","","","CAN","","71","183","2025","VAN","1","15","15"
"315","Brandon Carlo","TOR","D","29","1996-11-26","Colorado Springs","CO","USA","USA","78","218","2015","BOS","2","7","37"
"404","Brandon Duhaime","WSH","L, R","29","1997-05-22","Coral Springs","FL","USA","USA","74","200","2016","MIN","4","15","106"
"407","Brandon Hagel","T.B","L","27","1998-08-27","Saskatoon","SK","CAN","CAN","74","179","2016","BUF","6","8","159"
"268","Brandon Montour","SEA","D","32","1994-04-11","Brantford","ON","CAN","CAN","72","194","2014","ANA","2","25","55"
"117","Brandon Saad","VGK","L","33","1992-10-27","Pittsburgh","PA","USA","USA","73","215","2011","CHI","2","13","43"
"364","Brandon Tanev","UTA","L","34","1991-12-31","Toronto","ON","CAN","CAN","72","189","-","-","-","-","-"
"723","Brandt Clarke","L.A","D","23","2003-02-09","Nepean","ON","CAN","CAN","74","185","2021","L.A","1","8","8"
"52","Brayden McNabb","VGK","D","35","1991-01-21","Davidson","SK","CAN","CAN","76","215","2009","BUF","3","5","66"
"546","Brayden Pachal","CGY","D","26","1999-08-23","Estevan","SK","CAN","CAN","74","203","-","-","-","-","-"
"274","Brayden Point","T.B","C","30","1996-03-13","Calgary","AB","CAN","CAN","71","180","2014","T.B","3","19","79"
"46","Brayden Schenn","NYI, STL","C","34","1991-08-22","Saskatoon","SK","CAN","CAN","73","199","2009","L.A","1","5","5"
"879","Brayden Yager","WPG","C","21","2005-01-03","","","CAN","","71","180","2023","PIT","1","14","14"
"663","Brendan Brisson","NYR","C","24","2001-10-22","","","USA","","72","191","2020","VGK","1","29","29"
"97","Brendan Gallagher","MTL","R","34","1992-05-06","Edmonton","AB","CAN","CAN","69","186","2010","MTL","5","27","147"
"147","Brendan Gaunce","CBJ","C","32","1994-03-25","Sudbury","ON","CAN","CAN","75","219","2012","VAN","1","26","26"
"19","Brendan Smith","CBJ","D","37","1989-02-08","Mimico","ON","CAN","CAN","74","200","2007","DET","1","27","27"
"67","Brenden Dillon","N.J","D","35","1990-11-13","New Westminster","BC","CAN","CAN","76","224","-","-","-","-","-"
"730","Brennan Othmann","CGY, NYR","L","23","2003-01-05","Scarborough","ON","CAN","CAN","72","188","2021","NYR","1","16","16"
"1","Brent Burns","COL","D","41","1985-03-09","Barrie","ON","CAN","CAN","77","230","2003","MIN","1","20","20"
"657","Brett Berard","NYR","L","23","2002-09-09","","","USA","","69","174","2020","NYR","5","10","134"
"377","Brett Howden","VGK","C","28","1998-03-29","Calgary","AB","CAN","CAN","74","203","2016","T.B","1","27","27"
"177","Brett Kulak","COL, EDM, PIT","D","32","1994-01-06","Edmonton","AB","CAN","CAN","73","197","2012","CGY","4","14","105"
"554","Brett Leason","WSH","R","27","1999-04-30","Calgary","AB","CAN","CAN","77","218","2019","WSH","2","25","56"
"218","Brett Pesce","N.J","D","31","1994-11-15","Tarrytown","NY","USA","USA","75","206","2013","CAR","3","5","66"
"55","Brian Dumoulin","L.A","D","34","1991-09-06","Biddeford","ME","USA","USA","76","207","2009","CAR","2","21","51"
"813","Brian Halonen","N.J","L","27","1999-01-11","","","USA","","72","207","-","-","-","-","-"
"316","Brock Boeser","VAN","R","29","1997-02-25","Burnsville","MN","USA","USA","73","208","2015","VAN","1","23","23"
"652","Brock Faber","MIN","D","23","2002-08-22","Maple Grove","MN","USA","USA","73","200","2020","L.A","2","14","45"
"79","Brock Nelson","COL","C","34","1991-10-15","Warroad","MN","USA","USA","76","210","2010","NYI","1","30","30"
"95","Bryan Rust","PIT","R","34","1992-05-11","Pontiac","MI","USA","USA","71","192","2010","PIT","3","20","80"
"430","Cale Fleury","SEA","D","27","1998-11-19","Carlyle","SK","CAN","CAN","73","204","2017","MTL","3","25","87"
"457","Cale Makar","COL","D","27","1998-10-30","Calgary","AB","CAN","CAN","71","187","2017","COL","1","4","4"
"320","Caleb Jones","PIT","D","29","1997-06-06","Arlington","TX","USA","USA","73","194","2015","EDM","4","26","117"
"72","Calle Jarnkrok","TOR","C","34","1991-09-25","Gävle","","SWE","SWE","72","192","2010","DET","2","21","51"
"872","Calum Ritchie","NYI","C","21","2005-01-21","","","CAN","","74","185","2023","COL","1","27","27"
"84","Cam Fowler","STL","D","34","1991-12-05","Windsor","ON","CAN","USA","74","215","2010","ANA","1","12","12"
"568","Cam York","PHI","D","25","2001-01-05","Anaheim","CA","USA","USA","71","175","2019","PHI","1","14","14"
"459","Cameron Crotty","OTT","D","27","1999-05-05","Ottawa","ON","CAN","CAN","75","188","2017","ARI","3","20","82"
"353","Cameron Hughes","DAL","C","29","1996-10-09","Edmonton","AB","CAN","CAN","72","183","2015","BOS","6","14","165"
"371","Carl Grundstrom","PHI","R","28","1997-12-01","Umea","","SWE","SWE","72","195","2016","TOR","2","27","57"
"739","Carson Lambos","MIN","D","23","2003-01-14","","","CAN","","73","197","2021","MIN","1","26","26"
"193","Carson Soucy","NYI, NYR","D","31","1994-07-27","Viking","AB","CAN","CAN","77","208","2013","MIN","5","16","137"
"742","Carter Mazur","DET","L","24","2002-03-28","","","USA","","72","170","2021","DET","3","6","70"
"200","Carter Verhaeghe","FLA","C","30","1995-08-14","Toronto","ON","CAN","CAN","74","180","2013","TOR","3","21","82"
"898","Carter Yakemchuk","OTT","D","20","2005-09-29","","","CAN","","75","201","2024","OTT","1","7","7"
"58","Casey Cizikas","NYI","C","35","1991-02-27","Toronto","ON","CAN","CAN","71","190","2009","NYI","4","1","92"
"435","Casey Mittelstadt","BOS","C","27","1998-11-22","Edina","MN","USA","USA","73","195","2017","BUF","1","8","8"
"166","Chandler Stephenson","SEA","C","32","1994-04-22","Saskatoon","SK","CAN","CAN","72","209","2012","WSH","3","16","77"
"480","Charle-Edouard D'Astous","T.B","D","28","1998-04-21","","","CAN","","74","188","-","-","-","-","-"
"894","Charles Alexis Legault","CAR","D","22","2003-09-05","","","CAN","","75","208","2023","CAR","5","11","139"
"76","Charlie Coyle","CBJ","C","34","1992-03-02","E. Weymouth","MA","USA","USA","75","223","2010","S.J","1","28","28"
"370","Charlie McAvoy","BOS","D","28","1997-12-21","Long Beach","NY","USA","USA","73","209","2016","BOS","1","14","14"
"51","Chris Kreider","ANA","L","35","1991-04-30","Boxford","MA","USA","USA","75","230","2009","NYR","1","19","19"
"70","Chris Tanev","TOR","D","36","1989-12-20","Toronto","ON","CAN","CAN","74","193","-","-","-","-","-"
"270","Christian Dvorak","PHI","C","30","1996-02-02","Palos","IL","USA","USA","73","193","2014","ARI","2","28","58"
"12","Claude Giroux","OTT","R","38","1988-01-12","Hearst","ON","CAN","CAN","71","190","2006","PHI","1","22","22"
"374","Clayton Keller","UTA","R","27","1998-07-29","Chesterfield","MO","USA","USA","70","178","2016","ARI","1","7","7"
"155","Cody Ceci","L.A","D","32","1993-12-21","Ottawa","ON","CAN","CAN","74","210","2012","OTT","1","15","15"
"433","Cody Glass","N.J","C","27","1999-04-01","Winnipeg","MB","CAN","CAN","75","206","2017","VGK","1","6","6"
"566","Cole Caufield","MTL","R","25","2001-01-02","Mosinee","WI","USA","USA","67","174","2019","MTL","1","15","15"
"914","Cole Hutson","WSH","D","19","2006-06-28","St. Louis","","USA","","71","175","2024","WSH","2","11","43"
"536","Cole Koepke","WPG","L","28","1998-05-17","Two Harbors","MN","USA","USA","73","196","2018","T.B","6","28","183"
"883","Cole McWard","NYI","D","25","2001-06-09","Fenton","MO","USA","USA","73","192","-","-","-","-","-"
"829","Cole O'Hara","NSH","R","23","2002-06-20","","","CAN","","72","189","2022","NSH","4","17","114"
"662","Cole Perfetti","WPG","C","24","2002-01-01","Whitby","ON","CAN","CAN","71","184","2020","WPG","1","10","10"
"544","Cole Reinhardt","FLA, VGK","L","26","2000-02-01","Calgary","AB","CAN","CAN","72","200","2020","OTT","6","26","181"
"606","Cole Schwindt","FLA","R","25","2001-04-25","Kitchener","ON","CAN","CAN","74","182","2019","FLA","3","19","81"
"718","Cole Sillinger","CBJ","C","23","2003-05-16","Columbus","OH","USA","USA","73","201","2021","CBJ","1","12","12"
"623","Cole Smith","NSH, VGK","R","30","1995-10-28","Brainerd","MN","USA","USA","75","195","-","-","-","-","-"
"101","Colin Blackwell","DAL","C","33","1993-03-28","Lawrence","MA","USA","USA","69","190","2011","S.J","7","13","193"
"139","Colin Miller","WPG","D","33","1992-10-29","Sault Ste. Marie","ON","CAN","CAN","73","200","2012","L.A","5","30","151"
"916","Collin Graf","S.J","R","23","2002-09-21","","","USA","","73","194","-","-","-","-","-"
"717","Colton Dach","CHI, EDM","C","23","2003-01-04","St. Albert","AB","CAN","CAN","76","196","2021","CHI","2","30","62"
"163","Colton Parayko","STL","D","33","1993-05-12","St. Albert","AB","CAN","CAN","78","228","2012","STL","3","25","86"
"172","Colton Sissons","VGK","C","32","1993-11-05","North Vancouver","BC","CAN","CAN","73","200","2012","NSH","2","20","50"
"344","Colton White","N.J","D","29","1997-05-03","London","ON","CAN","CAN","73","187","2015","N.J","4","6","97"
"849","Connor Bedard","CHI","C","20","2005-07-17","","","CAN","","70","185","2023","CHI","1","1","1"
"182","Connor Brown","N.J","R","32","1994-01-14","Toronto","ON","CAN","CAN","72","181","2012","TOR","6","5","156"
"897","Connor Clattenburg","EDM","C","21","2005-05-02","","","CAN","","76","195","2024","EDM","5","31","160"
"192","Connor Clifton","PIT","D","31","1995-04-28","Long Branch","NJ","USA","USA","71","190","2013","PHX","5","12","133"
"525","Connor Dewar","PIT","C","26","1999-06-26","Gilbert Plains","MB","CAN","CAN","70","183","2018","MIN","3","30","92"
"624","Connor Mackey","NYR","D","29","1996-09-12","Tower Lakes","IL","USA","USA","74","197","-","-","-","-","-"
"300","Connor McDavid","EDM","C","29","1997-01-13","Richmond Hill","ON","CAN","CAN","73","193","2015","EDM","1","1","1"
"585","Connor McMichael","WSH","C, L","25","2001-01-15","Ajax","ON","CAN","CAN","72","180","2019","WSH","1","25","25"
"134","Connor Murphy","CHI, EDM","D","33","1993-03-26","Dublin","OH","USA","USA","76","212","2011","PHX","1","20","20"
"628","Connor Zary","CGY","C","24","2001-09-25","Saskatoon","SK","CAN","CAN","72","178","2020","CGY","1","24","24"
"347","Conor Garland","CBJ, VAN","R","30","1996-03-11","Scituate","MA","USA","USA","70","165","2015","ARI","5","2","123"
"775","Conor Geekie","T.B","C","22","2004-05-05","","","CAN","","76","207","2022","ARI","1","11","11"
"239","Conor Sheary","NYR","L","34","1992-06-08","Winchester","MA","USA","USA","69","179","-","-","-","-","-"
"428","Conor Timmins","BUF","D","27","1998-09-18","St. Catharines","ON","CAN","CAN","74","202","2017","COL","2","1","32"
"2","Corey Perry","L.A, T.B","R","41","1985-05-16","Peterborough","ON","CAN","CAN","75","208","2003","ANA","1","28","28"
"518","Curtis Douglas","T.B, VAN","C","26","2000-03-06","Oakville","ON","CAN","CAN","81","242","2018","DAL","4","13","106"
"233","Curtis Lazar","EDM","C","31","1995-02-02","Salmon Arm","BC","CAN","CAN","72","203","2013","OTT","1","17","17"
"774","Cutter Gauthier","ANA","L","22","2004-01-19","","","SWE","","74","189","2022","PHI","1","5","5"
"638","Daemon Hunt","MIN","D","24","2002-05-15","","","CAN","","73","201","2020","MIN","3","3","65"
"283","Dakota Joshua","TOR","C","30","1996-05-15","Dearborn","MI","USA","USA","75","206","2014","TOR","5","8","128"
"236","Dakota Mermis","TOR","D","32","1994-01-05","Alton","IL","USA","USA","72","195","-","-","-","-","-"
"858","Dalibor Dvorsky","STL","R","20","2005-06-15","","","SVK","","73","201","2023","STL","1","10","10"
"171","Damon Severson","CBJ","D","31","1994-08-07","Melville","SK","CAN","CAN","74","205","2012","N.J","2","30","60"
"890","Daniil But","UTA","L","21","2005-02-15","","","RUS","","77","203","2023","ARI","1","12","12"
"698","Daniil Miromanov","CGY","D","28","1997-07-11","Moscow","","RUS","RUS","76","200","-","-","-","-","-"
"812","Danil Zhilkin","WPG","C","22","2003-12-19","","","RUS","","73","192","2022","WPG","3","12","77"
"811","Danila Yurov","MIN","R","22","2003-12-22","","","RUS","","73","178","2022","MIN","1","24","24"
"384","Dante Fabbro","CBJ","D","27","1998-06-20","Coquitlam","BC","CAN","CAN","72","189","2016","NSH","1","17","17"
"280","Danton Heinen","CBJ, PIT","L","30","1995-07-05","Langley","BC","CAN","CAN","73","188","2014","BOS","4","26","116"
"224","Darnell Nurse","EDM","D","31","1995-02-04","Hamilton","ON","CAN","CAN","76","221","2013","EDM","1","7","7"
"291","Darren Raddysh","T.B","D","30","1996-02-28","Toronto","ON","CAN","CAN","73","200","-","-","-","-","-"
"781","David Jiricek","MIN, PHI","D","22","2003-11-28","Klatovy","","CZE","CZE","76","199","2022","CBJ","1","6","6"
"463","David Kampf","VAN, WSH","C","31","1995-01-12","Chomutov","","CZE","CZE","74","197","-","-","-","-","-"
"262","David Pastrnak","BOS","R","30","1996-05-25","Havirov","","CZE","CZE","73","195","2014","BOS","1","25","25"
"20","David Perron","DET, OTT","L","38","1988-05-28","Sherbrooke","QC","CAN","CAN","73","196","2007","STL","1","26","26"
"871","David Reinbacher","MTL","D","21","2004-10-25","","","AUT","","75","209","2023","MTL","1","5","5"
"839","David Spacek","MIN","D","23","2003-02-18","","","USA","","72","174","2022","MIN","5","24","153"
"934","David Tomasek","EDM","R","30","1996-02-10","","","CZE","","74","210","-","-","-","-","-"
"646","Dawson Mercer","N.J","C","24","2001-10-27","Carbonear","NL","CAN","CAN","72","180","2020","N.J","1","18","18"
"764","Declan Carlile","T.B","D","26","2000-05-18","","","USA","","75","192","-","-","-","-","-"
"526","Declan Chisholm","WSH","D","26","2000-01-12","Bowmanville","ON","CAN","CAN","73","185","2018","WPG","5","26","150"
"393","Dennis Cholowski","N.J","D","28","1998-02-15","Langley","BC","CAN","CAN","74","210","2016","DET","1","20","20"
"335","Dennis Gilbert","OTT","D","29","1996-10-30","Buffalo","NY","USA","USA","74","216","2015","CHI","3","30","91"
"792","Denton Mateychuk","CBJ","D","21","2004-07-12","","","CAN","","71","188","2022","CBJ","1","12","12"
"848","Denver Barkey","PHI","C","21","2005-04-27","","","CAN","","69","155","2023","PHI","3","31","95"
"82","Derek Forbort","VAN","D","34","1992-03-04","Duluth","MN","USA","USA","76","208","2010","L.A","1","15","15"
"277","Devon Toews","COL","D","32","1994-02-21","Abbotsford","BC","CAN","CAN","73","191","2014","NYI","4","18","108"
"888","Dmitri Simashev","UTA","D","21","2005-02-04","","","RUS","","76","198","2023","ARI","1","6","6"
"612","Dmitri Voronkov","CBJ","L","25","2000-09-10","","","RUS","","77","240","2019","CBJ","4","21","114"
"49","Dmitry Kulikov","FLA","D","35","1990-10-29","Lipetsk","","RUS","RUS","73","201","2009","FLA","1","14","14"
